Year;Nationality;الجنسية;Country;الدولة;Gender;النوع;Number of Students
2015/2016;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;18
2022/2023;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;168
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;360
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;539
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;70
2022/2023;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;60
2021/2022;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;135
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;82
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;484
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;78
2021/2022;Other Countries;بلدان أخرى;India;الهند;Male;ذكر;354
2020/2021;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;77
2020/2021;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;61
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;615
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;43
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;28
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;147
2020/2021;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;22
2019/2020;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;3793
2019/2020;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;8
2019/2020;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;171
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;228
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;50
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;40
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;32
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;150
2019/2020;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;49
2019/2020;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;27
2019/2020;Other Countries;بلدان أخرى;India;الهند;Male;ذكر;92
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;184
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;17
2018/2019;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;236
2017/2018;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;61
2017/2018;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;175
2017/2018;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;34
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;101
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;562
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;192
2017/2018;Other Countries;بلدان أخرى;India;الهند;Male;ذكر;62
2017/2018;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;231
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;86
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;31
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;24
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;58
2016/2017;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;21
2016/2017;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;138
2015/2016;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;3081
2015/2016;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;14
2015/2016;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;33
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;508
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;43
2015/2016;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;10
2015/2016;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;42
2015/2016;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;240
2014/2015;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;146
2014/2015;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;146
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;63
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;24
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;73
2014/2015;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;264
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;593
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;578
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;76
2014/2015;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;10
2014/2015;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;82
2022/2023;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;78
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;57
2022/2023;Other Countries;بلدان أخرى;Bangladesh;بنغلاديش;Female;أنثى;186
2021/2022;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;71
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;727
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;76
2019/2020;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;479
2019/2020;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;10
2019/2020;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;105
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;110
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;326
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;30
2018/2019;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;127
2017/2018;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;82
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;233
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;477
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;54
2017/2018;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;18
2017/2018;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;207
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;659
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;579
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;548
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;325
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;30
2014/2015;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;3211
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;64
2014/2015;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;38
2014/2015;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;240
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;64
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;676
2019/2020;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;89
2018/2019;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;464
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;601
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;442
2017/2018;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;14527
2014/2015;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;10708
2014/2015;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;83
2014/2015;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;114
2022/2023;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;17690
2022/2023;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;16
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;422
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;781
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;85
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Morocco;المغرب;Male;ذكر;38
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Morocco;المغرب;Female;أنثى;50
2022/2023;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;74
2022/2023;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;9
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;668
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;136
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;173
2021/2022;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;568
2020/2021;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;17208
2020/2021;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;513
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;40
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;533
2020/2021;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;72
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;641
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;40
2019/2020;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;13
2018/2019;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;8
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;274
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;224
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;608
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;206
2018/2019;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;28
2018/2019;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;200
2018/2019;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;250
2017/2018;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;29
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;465
2017/2018;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;24
2016/2017;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;13264
2016/2017;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;67
2016/2017;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;323
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;238
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;156
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;75
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;31
2016/2017;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;14
2015/2016;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;45
2015/2016;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;81
2015/2016;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;256
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;160
2015/2016;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;33
2014/2015;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;237
2022/2023;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;87
2022/2023;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;46
2021/2022;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;572
2021/2022;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;220
2020/2021;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;53
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;55
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;134
2019/2020;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;15992
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;41
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;597
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;44
2018/2019;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;52
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;438
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;46
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;617
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;286
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;29
2017/2018;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;100
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;273
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;188
2015/2016;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;135
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;199
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;28
2015/2016;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;3
2015/2016;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;108
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;187
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;49
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;46
2021/2022;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;37
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;66
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;85
2020/2021;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;303
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;216
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;356
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;89
2019/2020;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;206
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;299
2016/2017;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;109
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;54
2014/2015;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;5
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;235
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;542
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;174
2014/2015;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;154
